[Tue Feb 23 19:15:57.781990 2016] [:error] [pid 3738] [client 192.168.1.5:53869] PHP Parse error:  syntax error, unexpected 'endforeach' (T_ENDFOREACH) in /var/www/Quote/public_html/application/views/profile.php on line 4, referer: http://quote.com/
[Tue Feb 23 20:20:30.367482 2016] [:error] [pid 3188] [client 192.168.1.5:54552] PHP Fatal error:  Call to a member function first_row() on a non-object in /var/www/Quote/public_html/application/controllers/Profile.php on line 25, referer: http://quote.com/
[Tue Feb 23 20:20:31.277178 2016] [:error] [pid 2849] [client 192.168.1.5:54553] PHP Fatal error:  Call to a member function first_row() on a non-object in /var/www/Quote/public_html/application/controllers/Profile.php on line 25, referer: http://quote.com/
[Tue Feb 23 20:46:37.087272 2016] [:error] [pid 3737] [client 192.168.1.5:54717] PHP Fatal error:  Call to a member function row() on a non-object in /var/www/Quote/public_html/application/controllers/Profile.php on line 25, referer: http://quote.com/
[Tue Feb 23 21:24:21.461831 2016] [:error] [pid 2850] [client 192.168.1.5:55008] PHP Parse error:  syntax error, unexpected '=' in /var/www/Quote/public_html/application/models/Cards.php on line 12, referer: http://quote.com/profile/2
[Tue Feb 23 21:24:22.502558 2016] [:error] [pid 2850] [client 192.168.1.5:55008] PHP Parse error:  syntax error, unexpected '=' in /var/www/Quote/public_html/application/models/Cards.php on line 12, referer: http://quote.com/profile/2
[Tue Feb 23 22:23:46.826203 2016] [:error] [pid 3738] [client 192.168.1.5:55378] PHP Parse error:  syntax error, unexpected ''validated'' (T_CONSTANT_ENCAPSED_STRING), expecting ')' in /var/www/Quote/public_html/application/models/Validate.php on line 17, referer: http://quote.com/login
[Tue Feb 23 22:54:32.851639 2016] [:error] [pid 3738] [client 192.168.1.5:55477] PHP Parse error:  syntax error, unexpected '!' in /var/www/Quote/public_html/application/models/Validate.php on line 20, referer: http://quote.com/login
[Tue Feb 23 22:55:30.266414 2016] [:error] [pid 2849] [client 192.168.1.5:55485] PHP Parse error:  syntax error, unexpected '$this' (T_VARIABLE) in /var/www/Quote/public_html/application/models/Validate.php on line 20, referer: http://quote.com/login
[Wed Feb 24 13:46:14.337578 2016] [:error] [pid 2849] [client 192.168.1.5:56998] PHP Parse error:  syntax error, unexpected end of file in /var/www/Quote/public_html/application/views/home.php on line 68
[Wed Feb 24 13:46:15.536101 2016] [:error] [pid 2849] [client 192.168.1.5:56998] PHP Parse error:  syntax error, unexpected end of file in /var/www/Quote/public_html/application/views/home.php on line 68
[Wed Feb 24 15:01:41.013021 2016] [:error] [pid 2849] [client 192.168.1.5:57374] PHP Parse error:  syntax error, unexpected '}' in /var/www/Quote/public_html/application/controllers/Login.php on line 34, referer: http://quote.com/
[Wed Feb 24 15:29:33.965530 2016] [:error] [pid 3738] [client 192.168.1.5:57543] PHP Fatal error:  Function name must be a string in /var/www/Quote/public_html/application/controllers/Login.php on line 32, referer: http://quote.com/login
[Wed Feb 24 15:46:53.318047 2016] [:error] [pid 3737] [client 192.168.1.5:57730] PHP Fatal error:  Call to a member function row() on a non-object in /var/www/Quote/public_html/application/controllers/Login.php on line 32, referer: http://quote.com/login
[Wed Feb 24 15:53:49.561225 2016] [:error] [pid 3736] [client 192.168.1.5:57734] PHP Parse error:  syntax error, unexpected '$this' (T_VARIABLE) in /var/www/Quote/public_html/application/controllers/Login.php on line 34, referer: http://quote.com/login
[Wed Feb 24 16:19:34.307448 2016] [:error] [pid 3737] [client 192.168.1.5:57857] PHP Parse error:  syntax error, unexpected 'public' (T_PUBLIC) in /var/www/Quote/public_html/application/controllers/Login.php on line 45, referer: http://quote.com/
[Wed Feb 24 19:28:39.582296 2016] [:error] [pid 3737] [client 192.168.1.5:58199] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE), expecting function (T_FUNCTION) in /var/www/Quote/public_html/application/controllers/Dashboard.php on line 21
[Wed Feb 24 19:39:38.514585 2016] [:error] [pid 2850] [client 192.168.1.5:58291] PHP Parse error:  syntax error, unexpected ')' in /var/www/Quote/public_html/application/models/Validate.php on line 7, referer: http://quote.com/login
